City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
279,bowen,-20.0167,148.2333,27.43,75,98,5.45,AU,1678156144
280,dicabisagan,17.0818,122.4157,24.37,66,13,3.92,PH,1678156144
281,muros,42.7762,-9.0603,13.38,94,100,4.38,ES,1678156145
282,bijapur,16.8333,75.7,21.63,50,0,4.94,IN,1678156145
283,talaya,61.3833,152.75,-23.03,90,100,1.17,RU,1678156146
284,bambous virieux,-20.3428,57.7575,26.14,89,75,1.54,MU,1678156146
285,meulaboh,4.1363,96.1285,25.87,81,2,1.1,ID,1678156146
286,sambava,-14.2667,50.1667,24.13,86,98,2.07,MG,1678156147
287,tessalit,20.1986,1.0114,21.54,11,92,3.67,ML,1678156147
288,laguna,38.421,-121.4238,10.08,72,0,3.6,US,1678155933
289,yangambi,0.8102,24.4336,23.42,78,100,0.71,CD,1678156148
290,mananjary,-21.2167,48.3333,23.58,90,100,1.95,MG,1678156148
291,rio gallegos,-51.6226,-69.2181,9.03,37,0,12.35,AR,1678156093
292,chifeng,42.2683,118.9636,13.46,18,91,7.02,CN,1678156149
293,santa lucia,27.9117,-15.5407,12.65,77,20,1.54,ES,1678156149
294,ushirombo,-3.4919,31.9639,17.69,95,77,1.26,TZ,1678156150
295,udachnyy,66.4167,112.4,-24.2,69,95,2.29,RU,1678156150
296,the valley,18.217,-63.0578,25.05,71,5,5.23,AI,1678156025
297,sabha,27.0377,14.4283,15.22,32,0,3.81,LY,1678155629
298,varzea da palma,-17.5981,-44.7308,23.47,52,98,0.93,BR,1678156151
299,turtas,58.9417,69.1325,-12.9,99,92,1.79,RU,1678156151
300,tocopilla,-22.092,-70.1979,22.73,77,95,1.4,CL,1678156152
301,iquique,-20.2208,-70.1431,24.02,79,22,1.76,CL,1678155754
302,nizhnyaya omka,55.4338,74.9426,-8.52,92,16,5.37,RU,1678156152
303,arys,42.4252,68.795,14.43,47,99,6.69,KZ,1678156153
304,derzhavinsk,51.1,66.3167,-0.04,94,100,4.97,KZ,1678156153
305,kikwit,-5.041,18.8162,22.2,94,100,0.9,CD,1678156153
306,yarensk,62.1675,49.0916,-13.04,97,100,1.39,RU,1678156154
307,bolpur,23.6667,87.7167,25.33,20,0,1.95,IN,1678156058
308,kurilsk,45.2333,147.8833,3.03,78,100,4.35,RU,1678156154
309,alekseyevsk,57.8406,108.3492,-10.78,92,100,1.76,RU,1678156155
310,darab,28.7519,54.5444,15.25,29,30,1.21,IR,1678156155
311,baherden,38.4362,57.4316,22.47,20,100,7.35,TM,1678156155
312,sinnamary,5.3833,-52.95,25.0,85,80,5.35,GF,1678156156
313,ponta delgada,37.7333,-25.6667,17.4,94,75,10.29,PT,1678156156
314,jardim,-21.4803,-56.1381,25.76,76,59,0.65,BR,1678156157
315,oum hadjer,13.2954,19.6966,26.24,15,54,4.39,TD,1678156157
316,espinosa,-14.9261,-42.8192,26.46,48,99,3.38,BR,1678156158
317,fougamou,-1.2154,10.5838,23.24,99,100,1.06,GA,1678156158
318,rafaela,-31.2503,-61.4867,23.88,48,45,2.24,AR,1678156159
319,grand-santi,4.25,-54.3833,21.8,99,89,0.95,GF,1678156159
320,mumford,5.2618,-0.759,26.74,87,98,6.2,GH,1678156159
321,zhezkazgan,47.8043,67.7144,-0.01,100,100,7.0,KZ,1678156160
322,mungwi,-10.1732,31.3694,16.4,96,100,0.32,ZM,1678156160
323,mormugao,15.4,73.8,24.63,47,1,2.14,IN,1678156161
324,holme,56.1138,10.1725,0.76,93,100,8.27,DK,1678156161
325,urumqi,43.801,87.6005,0.53,80,75,2.0,CN,1678156161
326,lorengau,-2.0226,147.2712,25.48,90,100,5.34,PG,1678156162
327,adrar,20.5022,-10.0711,22.5,12,100,3.78,MR,1678156162
328,atar,20.5169,-13.0499,25.04,12,5,3.46,MR,1678156162
329,arraial do cabo,-22.9661,-42.0278,24.62,91,38,10.27,BR,1678156163
330,manga,11.6636,-1.0731,28.03,13,100,3.95,BF,1678156040
331,halifax,44.6453,-63.5724,-1.94,84,100,7.2,CA,1678155875
332,linhai,28.85,121.1167,19.4,19,3,1.54,CN,1678156163
333,ranong,9.9658,98.6348,26.96,68,3,2.55,TH,1678156164
334,castres,43.5833,2.1667,3.98,82,0,2.57,FR,1678156164
335,vila franca do campo,37.7167,-25.4333,17.23,96,100,10.0,PT,1678156165
336,yeniseysk,58.4497,92.1703,-1.55,94,100,5.86,RU,1678156165
337,portland,45.5234,-122.6762,6.56,85,75,2.57,US,1678155669
338,mariinskiy posad,56.115,47.718,-3.48,97,99,3.98,RU,1678156165
339,valdosta,30.8327,-83.2785,22.21,76,0,1.54,US,1678156166
340,biak,-0.9131,122.8766,29.01,64,99,1.11,ID,1678156166
341,enshi,30.3,109.4833,15.98,81,100,0.45,CN,1678156167
342,port blair,11.6667,92.75,27.8,65,0,5.45,IN,1678156167
343,bara,10.3744,10.7288,26.06,13,84,2.53,NG,1678155611
344,sydney,-33.8679,151.2073,35.75,34,0,5.14,AU,1678155546
345,champerico,14.3,-91.9167,26.61,72,71,2.75,GT,1678156167
346,wanaka,-44.7,169.15,18.39,53,21,2.24,NZ,1678156168
347,vila velha,-20.3297,-40.2925,26.97,90,75,5.14,BR,1678156168
348,taoudenni,22.6783,-3.9836,25.36,12,100,3.69,ML,1678156168
349,guadalupe y calvo,26.1,-106.9667,9.18,25,0,0.93,MX,1678156169
350,mana,5.6592,-53.7767,24.84,84,77,4.74,GF,1678156169
351,bay roberts,47.5999,-53.2648,-1.38,88,90,0.89,CA,1678156169
352,sola,-13.8833,167.55,27.62,77,35,4.47,VU,1678156170
353,gazanjyk,39.2446,55.5154,20.48,26,100,4.16,TM,1678156170
354,sarkand,45.41,79.9186,6.7,67,100,2.46,KZ,1678156170
355,gallup,35.5281,-108.7426,7.91,27,0,4.63,US,1678156042
356,ulladulla,-35.35,150.4667,28.32,26,0,4.81,AU,1678156171
357,birao,10.2849,22.7882,26.38,19,99,2.0,CF,1678156171
358,quechultenango,17.4167,-99.2167,20.98,74,5,1.76,MX,1678156172
359,burnie,-41.0667,145.9167,12.98,82,100,10.28,AU,1678156172
360,eirunepe,-6.6603,-69.8736,22.77,99,91,0.96,BR,1678156173
361,shimoda,34.6667,138.95,15.06,55,7,1.23,JP,1678156173
362,ancud,-41.8697,-73.8203,11.57,91,74,0.95,CL,1678155840
363,muli,2.9167,73.5667,27.63,74,95,4.86,MV,1678156173
364,lardos,36.0942,28.0157,12.9,73,100,2.48,GR,1678156174
